imagen,precio,titulo
https://www.fybeca.com/images/thumbnail/1352.jpg,21.30,pharmaton capsulas 30 unidades
https://www.fybeca.com/images/thumbnail/2330.jpg,16.50,etec 1000 capsulas blandas 1000
https://www.fybeca.com/images/thumbnail/100032015.jpg,19.50,energit forte capsulas
https://www.fybeca.com/images/thumbnail/156910.jpg,19.80,biometrix a-ox antioxidante capsulas
,16.50,perlavit-e capsulas 1000 ui
,4.50,perlavit-e  capsulas 200 ui
https://www.fybeca.com/images/thumbnail/283227.jpg,5.40,coenzima q plus capsulas caja 20 unidades
https://www.fybeca.com/images/thumbnail/5142.jpg,23.40,kobil ems capsulas
https://www.fybeca.com/images/thumbnail/5141.jpg,18.00,kobil e capsulas
https://www.fybeca.com/images/thumbnail/1542.jpg,12.60,supravital capsulas
https://www.fybeca.com/images/thumbnail/44276.jpg,9.60,supravital platinum capsulas 
https://www.fybeca.com/images/thumbnail/100097237.jpg,8.70,egogyn capsulas blandas 400ui c/30
https://www.fybeca.com/images/thumbnail/41895.jpg,15.00,egogyn 1000 u.i vitamina e capsulas caja de 30 unidades
https://www.fybeca.com/images/thumbnail/41929.jpg,14.40,perfectil capsulas caja 30 unidades
https://www.fybeca.com/images/thumbnail/52310.jpg,18.30,immuvit plus q10 capsulas
https://www.fybeca.com/images/thumbnail/301572.jpg,7.20,hapeco plus capsulas caja 24 unidades
